Serial Number,Document Type,Year,Title,Abstract,Authors,Source,GPT Primary,GPT Primary Desc,GPT Secondary,GPT Tertiary,GPT Reasoning,Claude Primary,Claude Primary Desc,Claude Secondary,Claude Tertiary,Claude Reasoning
P3904,paper,1966,On the Utilization of Ferrofluids for Transducer Applications,"An assessment of the suitability of ferrofluids for acoustic transducer and receiver applications has led to the following conclusions: First, the magnetostrictive mode of operation is not efficient enough to offer an alternative to conventional solid materials in use. Second, the piston motion of the ferrofluid induced by an applied field gradient does provide a real alternative to conventional magnetostrictive transducers. For an applied static field of 4000 Oe and a field gradient of 1000 Oe/cm, it is possible to achieve an overall efficiency that is greater than that for the ferromagnetic solids. Third, ferrofluids appear to provide a desirable alternative for pressure sensing applications in severe environments (e.g., detonations) where piezoelectric and pyroelectric materials suffer fatigue and failure. Fourth, ferrofluids offer the prospect of obtaining broadband frequency response when radiating or receiving in liquid media. © 1966, Acoustical Society of America. All rights reserved.","[""Cary B.B."", ""Jr.; Fenlon F.H.""]",Journal of the Acoustical Society of America,14,Material > Evaluation / Characterization,49,38,"The abstract primarily discusses the evaluation and characterization of ferrofluids for acoustic transducer and receiver applications, which aligns with code 14. The mention of using ferrofluids in severe environments and for pressure sensing applications suggests relevance to engineering and instrumentation, aligning with code 49. The discussion of ferrofluids as an alternative to conventional materials in transducers involves principles of magnetic induction, aligning with code 38.",49,"Application > Digital Micro Fluids, Damping, Physics, Environmental, Engineering, Instruments to evaluate FF",14,38,"Primary 49: The abstract focuses on acoustic transducer and receiver applications, which falls under instruments/engineering applications. Secondary 14: The work involves systematic evaluation and assessment of ferrofluid suitability for specific applications. Tertiary 38: The magnetostrictive operation and field gradient effects described relate to magnetic induction principles."
P3923,paper,1970,A method of producing ferrofluid with gadolinium particles,Ferrofluids containing gadolinium and iron particles in the size range 80-750 Å in diameter have been prepared by evaporating gadolinium and iron onto a mercury surface in an argon atmosphere at a controlled pressure. The particle sizes are determined by electron microscopy and identified by microprobe analysis.,"[""Shepherd P.G.; Popplewell J.; Charles S.W.""]",Journal of Physics D: Applied Physics,14,Material > Evaluation / Characterization,12,13,"The abstract primarily focuses on the characterization of ferrofluids by determining particle sizes using electron microscopy and microprobe analysis, which aligns with code 14 (Evaluation / Characterization). The preparation of ferrofluids by evaporating gadolinium and iron suggests formulation aspects, aligning with code 12 (Formulation). The mention of particle sizes and their identification relates to the properties of the ferrofluids, aligning with code 13 (Properties).",12,Material > Formulation,14,14,"The abstract describes the preparation/synthesis of ferrofluids containing gadolinium and iron particles through evaporation onto mercury surface, which is clearly formulation (12). The characterization methods mentioned (electron microscopy and microprobe analysis for particle size determination and identification) represent evaluation/characterization activities (14)."
P3978,paper,1970,Some Applications of Ferrofluid Magnetic Colloids,"Ferrofluids are colloidal dispersions of sub domain magnetic partiles (͞D < 150 Å) that retain their liquid characteristics in the presence of a magnetic field. As a result, ferrofluids are unique liquid media in which it is possible to induce substantial magnetic forces which result in unusual fluid mechanical properties in the presence of an applied field. Magnetic properties may be conferred to a wide range of liquid such as hydrocarbons, water, glycerol, silicones, and even fluorocarbons. The magnetic properties of the ferrofluids can be controlled by varying the composition, size, and concentration of the magnetic particles. The existence of these magnetic fluids has resulted in a number of unique applications. Applications which have been reduced to practice include novel pumps and other energy conversion devices, viscous dampers for gravity gradient satellites, accelerometers, and gyroscope supports employing levitation bearings, specific gravity meters, seals, etc. © 1970, IEEE. All rights reserved.","[""Kaiser R.; Miskolczy G.""]",IEEE Transactions on Magnetics,13,Material > Properties,47,49,"The abstract primarily discusses the properties of ferrofluids, including their magnetic properties and how they can be controlled, which aligns with code 13. The mention of applications such as seals and levitation bearings suggests relevance to code 47, which covers bearings, seals, and lubricants. Additionally, the abstract references various applications and devices, which fits with code 49, covering digital micro fluids, damping, and instruments to evaluate ferrofluids.",50,Review / Book > Review - Survey,13,49,"This abstract provides a comprehensive overview of ferrofluids, their properties, and applications, making it primarily a review/survey (50). It discusses fundamental properties like magnetic characteristics and fluid mechanics (13), and extensively covers various applications including pumps, dampers, accelerometers, seals, and other instruments (49)."
P3947,paper,1971,Ferrofluids containing Ni-Fe alloy particles,"Metallic ferrofluids containing ferromagnetic Ni-Fe alloy small particles in mercury have been prepared by an electrodeposition method. The Curie temperature of the particles can be selected to be within the range 200-800°c by controlling their Ni-Fe content. The large variation of the magnetization with temperature as found at the Curie temperature is a necessary requirement for high efficiencies when the ferrofluid is used for energy conversion purposes. The facility of selecting the Curie temperature increases the versatility of the ferrofluid by extending the temperature range over which ferrofluids can be used. Electron microscopy and magnetization measurements show the particle diameters to be of the order of 100 Å and microprobe analysis has confirmed the Ni—Fe content of the ferrofluid. © 1971, Taylor & Francis Group, LLC. All rights reserved.","[""Shepherd P.G.; Popplewell J.""]",Philosophical Magazine,13,Material > Properties,14,12,"The abstract primarily discusses the properties of the ferrofluid, specifically the Curie temperature and magnetization, which aligns with code 13. The use of electron microscopy and magnetization measurements for characterization suggests code 14 as secondary. The preparation of the ferrofluid by controlling Ni-Fe content relates to formulation, making code 12 tertiary.",12,Material > Formulation,14,46,"Primary (12): The abstract focuses on preparation/formulation of metallic ferrofluids using electrodeposition method with controllable Ni-Fe content. Secondary (14): Extensive characterization is described including electron microscopy, magnetization measurements, and microprobe analysis to evaluate particle size and composition. Tertiary (46): The research specifically mentions energy conversion applications and heat transfer relevance through Curie temperature control for high efficiency applications."
P3921,paper,1972,Rheology of a dilute suspension of dipolar spherical particles in an external field. II. Effects of Rotary Brownian motion,"A previous treatment of the rheological properties of ferrofluids (and of dipolar spherical-particle suspensions in general) is here extended to include the effects of rotary Brownian motion. A second-order partial differential equation is derived which expresses the steady-state distribution of dipole orientations in terms of the angle between the directions of the external field and the fluid vorticity vector, the external field strength, and the rotary diffusivity-each of the latter being rendered dimensionless with the shear rate. This equation for the orientational distribution function is solved numerically for a variety of values of these three parameters. Several asymptotic perturbation solutions are also developed, and shown to agree with the numerical results. Knowledge of the distribution function is used to calculate the theological properties of a dilute suspension of spherical particles containing permanent embedded dipoles in a simple shearing flow, in terms of the relevant parameters. An attempt is made to compare the theoretical predictions with experimental data. © 1972.","[""Brenner H.; Weissman M.H.""]",Journal of Colloid And Interface Science,13,Material > Properties,24,14,"The abstract primarily discusses the rheological properties of ferrofluids, which aligns with the 'Properties' classification (13). It involves deriving and solving a partial differential equation related to dipole orientations, which fits under 'Modelling' (24). The attempt to compare theoretical predictions with experimental data suggests an aspect of 'Evaluation / Characterization' (14).",24,"Computation > Modelling (ODE, Boundary value, Two-phase, Lifting force, Magneto-optical, Dipole, Strain Energy, Susceptibility)",13,25,Primary: 24 (Modelling - dipole) because the abstract focuses on deriving and solving differential equations for dipole orientations in ferrofluids with rotary Brownian motion. Secondary: 13 (Properties) as the work calculates rheological properties of ferrofluids. Tertiary: 25 (Flow) since the analysis is conducted for simple shearing flow conditions.
P3943,paper,1972,"EFFECTS OF BROWNIAN MOTION ON ORIENTATIONAL AND RHEOLOGICAL PROPERTIES OF SPHERICAL DIPOLES IN SIMPLE SHEAR, UNDER AN EXTERNAL FIELD.",This is an analysis of ferrofluid rheology incorporation of rotary diffusion effects of rotational Brownian motion. The following topics are discussed by means of mathematical equations - orientational distribution function; method of solution; rheology of ferrofluids in simple shear; comparison with known limiting cases; some perturbation solutions; results for intermediate values of the parameters; and comparison with experimental data.,"[""Weissman M.H.; Brenner H.""]",,13,Material > Properties,24,14,"The abstract primarily discusses the rheological properties of ferrofluids, which aligns with the 'Properties' classification (13). The use of mathematical equations and modeling techniques to analyze these properties suggests a secondary classification under 'Modelling' (24). The comparison with experimental data and the evaluation of results indicate a tertiary classification related to 'Evaluation / Characterization' (14).",24,"Computation > Modelling (ODE, Boundary value, Two-phase, Lifting force, Magneto-optical, Dipole, Strain Energy, Susceptibility)",25,13,"Primary 24: The abstract focuses on mathematical modeling of ferrofluid rheology incorporating rotational Brownian motion and orientational distribution functions, which fits 'Modelling (ODE, Boundary value, Two-phase, Lifting force, Magneto-optical, Dipole, Strain Energy, Susceptibility)'. Secondary 25: The analysis specifically addresses rheology in simple shear flow conditions. Tertiary 13: The work characterizes rheological properties of ferrofluids through theoretical analysis and comparison with experimental data."
P3981,paper,1972,Ferrofluids containing Ni-Fe alloy particles in mercury,"Mercury-based ferrofluids containing alloy particles of 42, 52 and 67 at% iron in nickel have been prepared electrolytically. The particle size in any one fluid varies from 30 Å to over 1000 Å, the overall size and shape distribution depending on the conditions of deposition. The magnetic properties have been measured down to 4·2 K; and the coercive force, which may be as high as 600 Oe after thermal aging (in the solid matrix), or as low as zero in the liquid, has been related to the alloy particle size. The effect of tin and aluminium additives on thermal growth has been examined, and it has been shown that whereas tin is an excellent growth inhibitor, aluminium has little effect.","[""Shepherd P.G.; Popplewell J.; Charles S.W.""]",Journal of Physics D: Applied Physics,13,Material > Properties,14,12,"The abstract primarily discusses the magnetic properties of mercury-based ferrofluids, which aligns with the 'Properties' classification (13). The measurement of magnetic properties and the effect of additives on thermal growth suggest 'Evaluation / Characterization' (14) as a secondary focus. The preparation of the ferrofluids with specific alloy compositions indicates a tertiary focus on 'Formulation' (12).",12,Material > Formulation,14,13,"Primary (12): The abstract focuses on preparation/formulation of mercury-based ferrofluids with specific alloy particles under controlled conditions. Secondary (14): Extensive characterization through magnetic property measurements, coercive force analysis, and particle size evaluation. Tertiary (13): Discussion of magnetic properties, coercive force values, and effects of additives on thermal growth relates to material properties."
P3911,paper,1974,DESIGNING WITH FERROMAGNETIC FLUIDS,"THE INTRINSIC PROPERTIES OF FERROFLUIDS, IN WHICH ULTRAMICROSCOPIC PARTICLES OF A MAGNETIC SOLID, SUCH AS MAGNETITE, ARE COLLOIDALLY SUSPENDED AND STABILIZED BY PHYSICOCHEMICAL MEANS IN A CARRIER FLUID, ARE DISCUSSED.MUCH ATTENTION IS GIVEN TO THE DIVERSE APPLICATIONS OF SUCH FLUIDS, WHICH INCLUDE SEALING, LUBRICATION, DAMPING, PRINTING, MATERIALS SEPARATION, CHEMICAL AND PETROLEUM PROCESSING, VISUALIZATION, DISPLAY, AND THERMAL EFFECTS.EXAMPLES OF THESE APPLICATIONS ARE EXAMINED, AND IMPORTANT DESIGN PARAMETERS ARE DEVELOPED.","[""MOSKOWITZ R.""]",,13,Material > Properties,50,47,"The abstract primarily discusses the intrinsic properties of ferrofluids, which aligns with code 13 (Properties). It also provides a broad overview of various applications, suggesting a review or survey nature, which aligns with code 50 (Review - Survey). Among the applications mentioned, sealing and lubrication are highlighted, which aligns with code 47 (Bearing, Seal, Lubricant).",50,Review / Book > Review - Survey,13,47,"This abstract presents a comprehensive discussion of ferrofluid intrinsic properties and diverse applications, making it primarily a review/survey paper (50). The focus on intrinsic properties indicates materials properties discussion (13). The extensive mention of specific applications like sealing, lubrication, and damping with design parameters suggests bearing/seal/lubricant applications (47) as a key focus area."
P3949,paper,1974,DESIGNING WITH FERROMAGNETIC FLUIDS.,"THE INTRINSIC PROPERTIES OF FERROFLUIDS, IN WHICH ULTRAMICROSCOPIC PARTICLES OF A MAGNETIC SOLID, SUCH AS MAGNETITE, ARE COLLOIDALLY SUSPENDED AND STABILIZED BY PHYSICOCHEMICAL MEANS IN A CARRIER FLUID, ARE DISCUSSED.MUCH ATTENTION IS GIVEN TO THE DIVERSE APPLICATIONS OF SUCH FLUIDS, WHICH INCLUDE SEALING, LUBRICATION, DAMPING,PRINTING, MATERIALS SEPARATION, CHEMICAL AND PETROLEUM PROCESSING, VISUALIZATION, DISPLAY, AND THERMAL EFFECTS.EXAMPLES OF THESE APPLICATIONS ARE EXAMINED, AND IMPORTANT DESIGN PARAMETERS ARE DEVELOPED.","[""MOSKOWITZ R.""]",,13,Material > Properties,47,50,"The abstract primarily discusses the intrinsic properties of ferrofluids, which aligns with code 13 (Properties). It also highlights diverse applications such as sealing, lubrication, and damping, which are covered under code 47 (Bearing, Seal, Lubricant). Additionally, the abstract provides an overview of various applications and design parameters, suggesting a review or survey nature, which corresponds to code 50 (Review - Survey).",50,Review / Book > Review - Survey,13,47,"This abstract presents a comprehensive survey discussing intrinsic properties of ferrofluids and their diverse applications including sealing, lubrication, damping, printing, materials separation, and other uses. The broad coverage and discussion format indicates a review paper (50). The focus on intrinsic properties suggests material properties classification (13), while the prominent mention of sealing and lubrication applications supports the bearing/seal/lubricant category (47)."
PT463,patent,1974,RECORDING SYSTEM UTILIZING MAGNETIC DEFLECTION,"An ink jet recording system including means for producing a stream of high speed ferrofluid ink droplets, magnetic deflection means for deflecting said ink stream, said magnetic deflecting means including two spaced pole pieces forming an air gap therebetween located so that said ink stream passes therethrough, said gap being shaped to form a gradient magnetic field therein, said gap further being shaped so that movement of said ink stream in a direction normal to the gradient magnetic field does not result in the ink stream striking a pole piece. Said system is further characterized by a plurality of magnetic deflection means located in the path of said ink stream wherein each deflecting means is capable of applying an increment of deflecting force to said stream.","[""FAN G"", ""TOUPIN R""]",US 3805272 A,15,"Material > Manipulation, Droplets, other",48,49,"The abstract describes a system for manipulating ferrofluid ink droplets using magnetic deflection, which aligns with 'Manipulation, Droplets, other' (15) as the primary focus. The use of magnetic fields to control the movement of droplets suggests 'Levitation, Spin of droplets' (48) as a secondary classification. The application of this technology in an ink jet system relates to 'Digital Micro Fluids, Damping, Physics, Environmental, Engineering, Instruments to evaluate FF' (49) as a tertiary classification.",49,"Application > Digital Micro Fluids, Damping, Physics, Environmental, Engineering, Instruments to evaluate FF",15,38,"Primary 49: This describes an inkjet recording system using ferrofluid droplets with magnetic deflection mechanisms, which falls under digital microfluidics and engineering instruments. Secondary 15: The system involves manipulation of ferrofluid droplets through controlled streams and deflection. Tertiary 38: The magnetic deflection system uses gradient magnetic fields and pole pieces, applying principles of magnetic induction to control the ferrofluid ink stream."
