patent_serial,paper_serial,similarity_score,patent_title,patent_year,paper_title,paper_year
PT1,P572,0.2442,FERROFLUID MOTOR,2015,Dynamic magnetic response of ferrofluids under a static electric field,2021
PT1,P2396,0.2121,FERROFLUID MOTOR,2015,Simulation of microfluidic flow using ferrofluids,2008
PT1,P852,0.2092,FERROFLUID MOTOR,2015,Small-angle neutron scattering study of transformer oil-based ferrofluids,2020
PT100,P3018,0.057,"FERROFLUID-BASED ASSAY METHODS, AND SYSTEMS FOR PARASITE EGGS OR OOCYSTS DETECTION",2024,Aggregation in non-ionic water-based ferrofluids by small-angle neutron scattering,2003
PT100,P174,0.0563,"FERROFLUID-BASED ASSAY METHODS, AND SYSTEMS FOR PARASITE EGGS OR OOCYSTS DETECTION",2024,Tailored Zn1-xMg0.5CuxFe2O4 nanoparticles: Optimizing magnetic hyperthermia for enhanced efficacy and investigating cytotoxicity in normal and cancer cell lines,2024
PT100,P783,0.0547,"FERROFLUID-BASED ASSAY METHODS, AND SYSTEMS FOR PARASITE EGGS OR OOCYSTS DETECTION",2024,Detection of Magnetic Nanoparticles in Blood Vessels,2020
PT101,P687,0.2134,FERROFLUID SEALING APPARATUS WITH SMALL DIAMETER USED IN LOW TEMPERATURE,2011,Supporting capacity of a ferrofluid ring bearing,2021
PT101,P3494,0.1623,FERROFLUID SEALING APPARATUS WITH SMALL DIAMETER USED IN LOW TEMPERATURE,2011,Study of the performance of the composite journal bearing sealed and lubricated with ferrofluid,1996
PT101,P2833,0.1308,FERROFLUID SEALING APPARATUS WITH SMALL DIAMETER USED IN LOW TEMPERATURE,2011,Microstructures in strongly interacting dipolar fluids,2005
PT102,P3449,0.1114,SYSTEMS AND METHODS FOR IMAGING AND THERAPY SUITABLE FOR USE IN THE CARDIOVASCULAR SYSTEM,2021,Instrument for rapidly imaging the fields in magnetic media,1997
PT102,P1589,0.1087,SYSTEMS AND METHODS FOR IMAGING AND THERAPY SUITABLE FOR USE IN THE CARDIOVASCULAR SYSTEM,2021,Consequences of sheep blood used as diluting agent for the magnetoviscous effect in biocompatible ferrofluids,2015
PT102,P1784,0.1078,SYSTEMS AND METHODS FOR IMAGING AND THERAPY SUITABLE FOR USE IN THE CARDIOVASCULAR SYSTEM,2021,Comparison study of ferrofluid and powder iron oxide nanoparticle permeability across the blood-brain barrier,2013
PT103,P3846,0.148,PUMPING SCHEMES FOR X-RAY TUBES WITH FERROFLUID SEALS,2008,Ferrofluids: a solution searching for problems.,1982
PT103,P3901,0.1276,PUMPING SCHEMES FOR X-RAY TUBES WITH FERROFLUID SEALS,2008,Dynamic loading of a single-stage ferromagnetic liquid seal,1978
PT103,P1053,0.1238,PUMPING SCHEMES FOR X-RAY TUBES WITH FERROFLUID SEALS,2008,A Comparative Study of Ferrofluid Seal and Magnetorheological Fluid Seal,2018
PT104,P3776,0.1173,Composition and method of making an element-modified ferrofluid,2006,Formation of ultra-fine amorphous alloy particles by reduction in aqueous solution,1986
PT104,P499,0.1158,Composition and method of making an element-modified ferrofluid,2006,"Liquid-Metal-Coated Magnetic Particles toward Writable, Nonwettable, Stretchable Circuit Boards, and Directly Assembled Liquid Metal-Elastomer Conductors",2022
